account_id,name,risk_score,dpd,total_debt,due_date,loan_type,region,last_payment_date,payment_frequency,partial_payments_count,payment_channel,last_contact_channel,response_time_avg,bot_interaction_score,call_pickup_rate,occupation_type,region_income_level,loan_purpose,stage_last_contacted,touchpoints_count,recommended_next_action,age,monthly_income,last_payment_days_ago,contact_channel,response_behavior,risk_level,dpd_bucket,income_level,ai_risk_score,last_contact_date,recovered
ACCT00001,User_1,1.7034283060224653,11,76685.70916043498,2025-07-26,Credit Card,North,2025-05-15,Monthly,5,ATM,Phone,17,0.79,0.52,Freelancer,Medium,Investment,Stage 1,2,Send SMS,58,53067.6380806524,54,SMS,Responsive,Medium,0–7,High,0.5615248063595459,2025-07-02,1
ACCT00002,User_2,0.6034713976576307,9,88646.60872520224,2025-07-17,Credit Card,South,2025-06-27,Monthly,4,MobileApp,SMS,11,0.51,0.82,Business Owner,Low,Investment,Stage 2,3,Send SMS,28,23961.859016486345,76,Voice,Ignored,High,0–7,Mid,0.910931717832323,2025-06-15,0
ACCT00003,User_3,2.145377076201385,22,66400.85552983976,2025-06-19,Home Loan,Central,2025-05-24,Monthly,0,LINE,Email,31,0.94,0.77,Business Owner,Medium,Emergency,Stage 2,7,LINE Bot,20,31065.9295030935,70,None,Ignored,Medium,8–30,Mid,0.9040871365473997,2025-06-22,0
ACCT00004,User_4,3.1560597128160506,6,97596.59509860117,2025-06-11,Car Loan,Bangkok,2025-06-28,Weekly,3,MobileApp,Email,24,0.9,0.64,Unemployed,Medium,Investment,Stage 2,3,Send SMS,56,76297.35637851592,5,Voice,Ignored,Medium,0–7,High,0.5233981961659713,2025-06-26,1
ACCT00005,User_5,0.4416932505533281,6,99638.46445554934,2025-06-15,Car Loan,South,2025-06-28,Weekly,5,LINE,LINE,43,0.9,0.94,Freelancer,Medium,Consumption,Stage 2,7,Escalate,22,71688.78562347154,9,Voice,Slow,Medium,8–30,High,0.944656581636435,2025-07-09,1
ACCT00006,User_6,0.0,16,53132.609191903706,2025-06-24,Credit Card,North,2025-05-26,Weekly,0,BankBranch,LINE,51,0.95,0.57,Unemployed,Low,Investment,Stage 0,5,Call,29,73435.79994510964,39,None,Ignored,Low,8–30,High,0.554515357618464,2025-07-09,1
ACCT00007,User_7,3.568425631014783,7,24901.079664588426,2025-07-25,Home Loan,Bangkok,2025-06-28,Weekly,3,ATM,LINE,68,0.55,0.2,Salaried,Medium,Investment,Stage 0,6,LINE Bot,57,19337.407745786113,4,None,Ignored,Low,0–7,Mid,0.9409696530210119,2025-07-12,1
ACCT00008,User_8,2.1548694583058174,9,75778.09198714815,2025-06-29,SME Loan,Central,2025-06-26,Irregular,1,LINE,LINE,6,0.49,0.52,Business Owner,Low,Investment,Stage 0,10,LINE Bot,30,43785.36740968354,73,None,Responsive,High,8–30,High,0.6797554964216868,2025-06-18,0
ACCT00009,User_9,0.0,23,23926.536759662427,2025-07-31,Car Loan,Central,2025-06-14,Weekly,4,BankBranch,Email,3,0.38,0.07,Unemployed,High,Consumption,Stage 2,1,Escalate,65,57159.03343342417,67,None,Ignored,Low,8–30,High,0.6153153335605792,2025-06-25,0
ACCT00010,User_10,1.5551200871719293,2,39842.95102239639,2025-07-11,Personal Loan,Northeast,2025-06-25,Weekly,3,BankBranch,Phone,68,0.45,0.99,Unemployed,High,Consumption,Stage 0,7,Call,48,30268.361255135023,85,SMS,Responsive,Medium,0–7,Mid,0.5271694072532431,2025-06-22,0
